Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
40234,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Shallow inland water,No,Yes
40278,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,Yes,No,Yes,Shallow inland water,No,Yes
40422,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Shallow inland water,No,Yes
40426,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Shallow inland water,No,Yes
40430,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Shallow inland water,No,Yes
51199,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Shallow ocean,Yes,Yes
51221,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51222,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51225,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51226,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51229,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51230,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,No,Land (Nothing else but land),Yes,Yes
51276,"VI produced, good quality",Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),Yes,Yes
51345,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),Yes,Yes
51349,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),Yes,Yes
51417,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),Yes,Yes
51418,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),Yes,Yes
51421,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),Yes,Yes
51422,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),Yes,Yes
51425,"VI produced, but check other QA",Decreasing quality (1000),High,No,No,No,Land (Nothing else but land),Yes,Yes
51473,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51474,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51477,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51478,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51481,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51482,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51485,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51489,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51490,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Land (Nothing else but land),Yes,Yes
51536,"VI produced, good quality",Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),Yes,Yes
51597,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51601,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51605,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51609,"VI produced, but check other QA",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),Yes,Yes
51669,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51673,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51677,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51678,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51681,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51682,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51685,"VI produced, but check other QA",Decreasing quality (1001),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
51686,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,No,Land (Nothing else but land),Yes,Yes
52254,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52258,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52262,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52266,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Land (Nothing else but land),Yes,Yes
52454,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Land (Nothing else but land),Yes,Yes
52458,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Land (Nothing else but land),Yes,Yes
52462,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,No,No,Yes,Land (Nothing else but land),Yes,Yes
52510,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52514,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52518,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52522,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52526,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52642,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52714,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52718,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
52722,"Pixel produced, but most probably cloudy",Lowest quality,High,Yes,No,Yes,Land (Nothing else but land),Yes,Yes
53247,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Land (Nothing else but land),Yes,Yes
53269,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53273,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53274,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53277,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53278,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53328,"VI produced, good quality",Decreasing quality (0100),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53521,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53525,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53529,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53530,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53533,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53534,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53537,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
53538,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,Yes
54306,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54310,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54314,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54558,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54562,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54566,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54570,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
54574,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,Yes
55295,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Ocean coastlines and lake shorelines,Yes,Yes
55317,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,Yes,Yes
55318,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,Yes,Yes
55321,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,Yes,Yes
55322,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Shallow inland water,Yes,Yes
55325,"VI produced, but check other QA",Decreasing quality (0111),Climatology,No,No,No,Shallow inland water,Yes,Yes
55573,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55577,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55578,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55581,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55582,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55585,"VI produced, but check other QA",Decreasing quality (1000),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55586,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,No,Shallow inland water,Yes,Yes
55777,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Shallow inland water,Yes,Yes
56354,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Shallow inland water,Yes,Yes
56358,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Shallow inland water,Yes,Yes
56554,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Shallow inland water,Yes,Yes
56606,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56614,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56618,"Pixel produced, but most probably cloudy",Decreasing quality (1010),Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56622,"Pixel produced, but most probably cloudy",Decreasing quality (1011),Climatology,Yes,No,Yes,Shallow inland water,Yes,Yes
56814,"Pixel produced, but most probably cloudy",Decreasing quality (1011),High,Yes,No,Yes,Shallow inland water,Yes,Yes
57343,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Shallow inland water,Yes,Yes
63487,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,Yes,Yes,Moderate or continental ocean,Yes,Yes
